,initial_temperature,gas_volume,heat_iterations_amount,active_power,reactive_power,power_rate,min_power_rate,max_power_rate,min_power_rate_iter,max_power_rate_iter,heat_duration,cooldown_duration,treatment_duration,mean_bulk_amount,total_bulk_amount,bulking_timedelta,mean_wire_amount,total_wire_amount,wiring_timedelta,target_temperature
0,1571,29.7499859302,5,4.8781465584,3.1832410098,1.1652789866740716,0.8072386324277036,1.970469571867015,4,3,1098,485,1583,36.86666666666667,553,1058,6.673333111111111,60.059998,0,1613.0
1,1581,12.5555609779,4,3.052598077,1.9981119036,0.912304098586605,0.5215486857722396,1.5741622876813548,0,1,811,333,1144,38.8,582,378,10.672479444444443,96.052315,0,1602.0
2,1596,28.5547926192,5,2.5258822158,1.5990759729,0.5979068323999593,0.2948648614968626,1.256527310591779,4,0,655,870,1525,36.266666666666666,544,1286,10.128906333333333,91.160157,0,1599.0
3,1601,18.8412192323,4,3.2092500786000002,2.060297668,0.9537405938907774,0.5032860467863394,1.4353854549961784,1,3,741,352,1093,39.666666666666664,595,439,9.89594611111111,89.063515,0,1625.0
4,1576,5.4136918254,4,3.3471727341,2.2526426912,1.0089394560749638,0.3235027313445667,1.9307071833858809,3,2,869,493,1362,38.93333333333333,584,354,10.928088444444445,98.352796,831,1602.0
5,1543,11.2733920899,4,3.9551080142,2.6891754418,1.1967092051173231,0.4058956603559057,2.064492847632981,0,1,952,401,1353,45.06666666666667,676,357,12.024941888888888,108.224477,52,1596.0
6,1586,9.836267334,4,2.5473753088,1.5612948387999999,0.746944299185371,0.43974661868510473,1.6487328167557402,2,1,673,796,1469,41.8,627,415,10.895733333333332,98.0616,0,1599.0
7,1577,15.1715526741,4,3.7627545303999996,2.6806977987,1.1568471404418292,0.3336525868002608,2.2016349935685815,3,0,913,338,1251,60.93333333333333,914,499,17.253599333333334,155.282394,0,1598.0
8,1587,8.2166226339,5,2.0819505139,1.4786707758,0.5110696858564725,0.17151895963268807,0.8070202682089425,4,2,625,941,1566,35.06666666666667,526,394,13.61521777777778,122.53696000000001,929,1592.0
9,1574,6.5298910379,6,2.9236219666000003,2.4961158037,0.641956548901453,0.4547319139645108,1.2011883928362501,5,1,825,597,1422,33.93333333333333,509,0,10.402310666666667,93.620796,37,1593.0
10,1616,3.6391281738,5,2.2975119276,1.7082596422000003,0.5726628961504711,0.21495780645780785,1.066077128525363,2,3,627,1766,2393,38.6,579,762,11.021920111111111,99.197281,0,1597.0
11,1606,11.0262591756,4,2.5815173729,2.1324476601000004,0.8375172137328453,0.5210321773835531,1.649409161856482,3,1,739,1304,2043,87.13333333333334,1307,1118,17.06431922222222,153.578873,0,1591.0
12,1596,11.4436430243,6,4.0518194053,3.1530602872,0.8564417444000347,0.43432194803626406,1.2386062923687287,5,2,1027,793,1820,55.8,837,549,14.409547,129.685923,30,1619.0
13,1583,5.0989450231,6,4.5102242483,3.4690186381,0.9484286193148441,0.39727247428932655,1.791330969549885,4,2,1235,1227,2462,42.0,630,469,17.56421322222222,158.077919,55,1606.0
14,1605,11.0854514251,5,2.3512757228,1.832322061,0.5965621433672965,0.3882025735130702,0.7594977400979007,4,1,714,1481,2195,35.4,531,733,13.709048777777777,123.381439,452,1598.0
15,1581,7.9912565383,3,3.3324575122,2.7555331587,1.4418301048925006,0.8239030289667694,1.9145892192891878,0,1,894,818,1712,33.93333333333333,509,0,15.912462444444445,143.212162,61,1607.0
16,1611,15.1759331266,5,2.6767169637999997,1.9393705726000001,0.6611856294046417,0.4761675430847322,0.9702262112439598,4,3,714,1059,1773,23.666666666666668,355,0,17.816585999999997,160.34927399999998,800,1599.0
17,1588,14.6600613607,5,3.4953507060999995,2.3872500359,0.8468638201883536,0.31063109170298603,1.9089634057814613,4,1,842,2017,2859,39.2,588,1441,13.375787,120.38208300000002,79,1595.0
18,1625,6.5562340435,3,1.1804090185,0.7622620164999999,0.468425101247029,0.38329349459035633,0.6032253606726533,1,0,321,1604,1925,14.6,219,0,20.946986,188.522874,66,1597.0
19,1582,10.698529526,5,2.9715971594,2.101394415,0.7280691701133082,0.33586157424255475,1.0064066174190527,4,2,735,995,1730,16.6,249,0,19.712621777777777,177.41359599999998,61,1603.0
20,1603,14.615434429,6,5.4032437707000005,3.539690733,1.0767683812220759,0.2881638300092122,3.1262328030598137,5,2,1263,1844,3107,65.8,987,1120,24.184160444444444,217.657444,110,1618.0
21,1560,13.2108608314,6,4.334909558,3.0404336750999996,0.8828782340233996,0.4525202882212878,1.6452951384056835,5,4,1039,1756,2795,17.666666666666668,265,298,54.96755977777778,494.708038,2835,1593.0
22,1611,14.5153471679,5,2.6636644321,1.9148585796000002,0.6569444319643943,0.5809068707152775,0.7324555360654701,2,4,715,1580,2295,33.8,507,816,54.59886933333333,491.389824,1325,1593.0
23,1578,11.4877755051,6,4.9595721969,3.1710678339,0.981830635001296,0.4817559706712744,1.6404340398119268,3,1,1187,2524,3711,67.73333333333333,1016,2410,16.89445388888889,152.050085,2100,1585.0
24,1594,9.0600177589,6,4.4892888309,3.0615977943000003,0.9059923217935967,0.45568313704257796,1.7820318050681019,5,2,1034,1378,2412,42.86666666666667,643,364,21.294808222222223,191.653274,39,1600.0
25,1609,9.631086046,3,1.7662914836999999,1.1944546401,0.7109422663731548,0.5901519560255521,0.8736448238057327,0,2,441,1235,1676,4.466666666666667,67,0,18.903732333333334,170.133591,0,1601.0
26,1578,10.4042990572,4,3.0413872936,2.0101585985,0.9123295635746849,0.2116510991765,1.5567576315775455,1,0,768,725,1493,37.333333333333336,560,0,16.47706688888889,148.293602,811,1604.0
27,1580,11.9970023804,4,3.1180569959,1.9844345585,0.9240270601508107,0.4742916349756566,1.4628242335074024,0,1,825,345,1170,17.0,255,0,11.017066111111111,99.153595,0,1609.0
28,1613,5.9551362154,4,1.5230258752999999,1.08376652,0.4677743440102166,0.2885534386762962,0.814585949614184,2,1,427,727,1154,35.13333333333333,527,580,13.346666111111112,120.11999499999999,0,1600.0
29,1567,13.4943070573,4,3.811512735,2.4315564931,1.1304784059921662,0.2272827031729504,2.2911684286866847,3,1,900,846,1746,32.666666666666664,490,1249,7.466044444444445,67.1944,55,1598.0
30,1601,7.4851467828,4,1.9432113477,1.5804569721,0.6271100884168261,0.2891036631467764,0.9283740842017928,2,1,571,574,1145,34.13333333333333,512,0,13.684782333333333,123.16304099999999,52,1602.0
31,1602,14.8814040739,4,3.8905713731000002,2.8311123848,1.2073000367572215,0.6498227663049724,2.564210655534321,3,1,1002,1896,2898,54.6,819,0,11.691680111111111,105.225121,0,1613.0
32,1564,14.3112436064,7,5.5464879495999995,3.6785570978999997,0.9517967566556701,0.31806684212016706,1.9331692433747938,6,1,1334,1296,2630,69.0,1035,1556,23.363945777777776,210.275512,0,1617.0
33,1584,11.743690918,3,2.9146141665,1.9598684310999996,1.171821130005155,0.7902627244074331,1.4172289708387142,1,0,717,222,939,50.8,762,267,12.793385777777779,115.14047199999999,0,1600.0
34,1585,10.7114693823,3,3.040438274,1.8781617878999999,1.1913298470011136,0.6385036107837361,1.7315355628402653,1,2,690,272,962,53.46666666666667,802,301,14.453226777777777,130.079041,0,1600.0
35,1543,9.2943379975,5,5.0065543034,2.8172304631,1.1503092467957885,0.7641672156527857,1.8878755954495972,3,2,1112,383,1495,41.8,627,280,11.128692666666666,100.158234,0,1601.0
36,1596,13.6079608169,5,2.8177984182,2.0041638016,0.6921495718525297,0.3884825421874229,0.9461174834303373,4,0,742,1295,2037,46.666666666666664,700,483,9.609600555555556,86.486405,0,1606.0
37,1593,8.4967464916,4,2.2550327068,1.5602990687,0.6862786530519244,0.1773662913835213,1.1423195931646368,3,1,647,781,1428,39.333333333333336,590,514,15.906799555555555,143.161196,483,1602.0
38,1586,10.4276220702,4,2.7469642524999998,1.7769641877,0.8180193498215276,0.6327381389162042,0.9983278627536774,0,1,718,769,1487,38.266666666666666,574,295,15.021065555555557,135.18959,0,1602.0
39,1587,2.9401933443,5,3.1612928166,2.2863808274,0.7803731090144244,0.40216693405264026,1.3067885060660642,4,2,808,810,1618,41.46666666666667,622,530,13.91450588888889,125.230553,0,1603.0
40,1608,7.3403303049,6,3.2250448627999995,2.2203068137,0.65275591743104,0.2757670909062809,1.000177037501087,5,1,852,1178,2030,39.6,594,643,12.353351333333332,111.180162,30,1602.0
41,1600,21.2652711035,12,7.6126168005,5.861980498,0.8011118032209253,0.12651388438935074,3.0306394349798302,10,8,2063,8847,10910,58.733333333333334,881,7547,7.687680333333333,69.189123,0,1603.0
42,1538,18.6016901058,10,9.1844636685,6.5635334254,1.129443857342626,0.5565925298845608,2.190545994086141,9,1,2136,2692,4828,60.666666666666664,910,1398,12.706026333333334,114.35423699999998,0,1621.0
43,1607,6.1184414589,13,12.3616253358,8.3698914051,1.1486119187046815,0.5202537975577335,1.9708844366333063,12,10,2919,9227,12146,58.6,879,3074,11.138399222222223,100.245593,0,1612.0
44,1565,7.9277425537,3,2.2974403952999998,1.6637149154,0.9462007276538914,0.6674722159831198,1.1524850569642933,0,1,561,328,889,38.93333333333333,584,219,9.127502444444445,82.14752200000001,75,1588.0
45,1573,8.1200928869,5,2.8887422355999997,2.0713990331,0.7111597732412268,0.554115732514862,0.9821048192104491,4,2,685,651,1336,11.466666666666667,172,0,13.260924888888887,119.34832399999999,60,1589.0
46,1626,10.4412280032,1,0.4439371708,0.3512940705,0.566116362231624,0.566116362231624,0.566116362231624,0,0,126,0,126,10.466666666666667,157,0,4.367999999999999,39.312,0,1588.0
47,1603,10.6682367139,4,2.1589481676,1.5163007081,0.6597345507760577,0.37232126243522745,0.9249172506913718,1,3,569,1207,1776,12.333333333333334,185,0,4.804799777777777,43.243198,0,1606.0
48,1619,9.23675771,4,5.6847140755000005,3.8277266026,1.713343431386765,0.31783660646190626,3.345575087007658,3,1,1293,273,1566,0.0,0,0,0.0,0.0,0,1690.0
49,1617,14.1196149445,6,5.0528154531,3.5418814717,1.0284334093927425,0.371478870555557,2.6749939797694515,5,1,1416,666,2082,0.0,0,0,0.0,0.0,0,1669.0
50,1642,7.0903066376,4,4.7026783987,3.4185225665,1.453704996640747,0.6984249391352148,2.7604184562633107,0,1,1048,620,1668,0.0,0,0,0.0,0.0,0,1671.0
51,1630,5.5473800507,4,3.9043368238999996,2.6299383343,1.1768775361499295,0.6361368723539768,2.3291701016062714,0,1,877,709,1586,0.0,0,0,0.0,0.0,0,1663.0
52,1615,8.9156834717,4,4.5988666506,3.1059606373,1.3873773318328817,0.6007966899823902,2.3390112313697546,0,1,1021,631,1652,0.0,0,0,0.0,0.0,0,1654.0
53,1606,13.9113691407,6,5.0661885811000005,3.102854073,0.9902649892082719,0.39993491345235,2.1501912855243166,3,1,1077,1047,2124,0.0,0,0,0.0,0.0,0,1652.0
54,1581,13.1501496276,5,4.5294996107,3.1527724266,1.1039890439583209,0.7208947310466834,1.4894716186781036,4,3,1066,1096,2162,71.0,1065,1341,2.344160111111111,21.097441,0,1595.0
55,1569,6.8105195312,4,2.8908754414,2.0122985839,0.8806834659441269,0.6639218376332595,1.073138627963538,3,1,692,621,1313,70.4,1056,604,9.370168777777778,84.331519,45,1574.0
56,1589,1.2793217391,6,4.6329714913,3.3526078462999997,0.953311634922465,0.629810683561392,1.9151265254428573,1,2,1101,1357,2458,65.73333333333333,986,1290,4.460213555555556,40.141922,0,1601.0
57,1601,10.7149415588,4,2.8974826959,2.0798175931,0.8919157190282181,0.8219704060498518,0.9560242183491111,2,3,709,2347,3056,34.333333333333336,515,564,9.478559666666667,85.30703700000001,101,1573.0
